city,taluka,area
Ratnagiri,Ratnagiri Central,Kothrud Society
Sindhudurg,Sindhudurg South,Nigdi
Palghar,Palghar North,Gardenmandi Residential
Buldhana,Buldhana Rural,Dadar Layout
Nandurbar,Nandurbar West,Rajgalli Industrial
Dhule,Dhule South,Lower Parel Society
Jalna,Jalna Taluka-1,Sus
Osmanabad,Osmanabad North,Pashan
Hingoli,Hingoli Rural,Katraj Society
Washim,Washim Urban,Bhosari Society
Yavatmal,Yavatmal Taluka-3,Camp Bazar
Bhandara,Bhandara Central,Anandnagar Phase-1
Gondia,Gondia Rural,Shantimandi North
Gadchiroli,Gadchiroli North,Viman Nagar Colony
Chandrapur,Chandrapur Taluka-1,Pimpri Society
Bid,Bid East,Vijaypura West 18
Miraj,Miraj Central,Pashan Bazar
Ichalkaranji,Ichalkaranji Rural,Rivermandi Phase-1
Pandharpur,Pandharpur South,Kalyani Nagar Road
Pune,Pune Rural,Greencolony Extension
Mumbai,Mumbai West,Magarpatta Bazar 9
Nagpur,Nagpur Taluka-1,Bandra Society 11
Nashik,Nashik West,Chembur Bazar
Aurangabad,Aurangabad North,Colaba Layout
Kolhapur,Kolhapur North,Shantipeth South
Solapur,Solapur Taluka-1,Yerawada Layout
Sangli,Sangli Taluka-3,Newbagh South
Satara,Satara North,Vasantmarket Extension
Jalgaon,Jalgaon South,Vile Parle Society
Amravati,Amravati Taluka-3,Shivwadi South
Pimpri-Chinchwad,Pimpri-Chinchwad West,Oldnagar Residential 12
Thane,Thane Taluka-2,Nigdi Bazar
Navi Mumbai,Navi Mumbai Urban,Oldpura Residential
Akola,Akola Taluka-2,Sagarmandi Phase-1
Wardha,Wardha Taluka-3,Vijaybasti West
Beed,Beed West,Akurdi Colony
Latur,Latur Taluka-1,Vijaychowk Industrial
Nanded,Nanded Taluka-2,Wakad Market
Parbhani,Parbhani North,Bandra Layout
Raigad,Raigad Rural,Bhosari Nagar
Ratnagiri,Ratnagiri West,Kurla Society
Sindhudurg,Sindhudurg Taluka-3,Worli Nagar
Palghar,Palghar North,Chinchwad Bazar 9
Buldhana,Buldhana Taluka-2,Vijaychowk Central
Nandurbar,Nandurbar Urban,Saigalli Phase-2
Dhule,Dhule Urban,Udaynagar Residential
Jalna,Jalna Central,Gandhivihar East
Osmanabad,Osmanabad West,Vile Parle Colony
Hingoli,Hingoli Taluka-2,Shantipura Phase-1
Washim,Washim Urban,Greenwadi Central 5
Yavatmal,Yavatmal Urban,Greengalli North
Bhandara,Bhandara North,Oldpura South
Gondia,Gondia North,Dhayari Nagar
Gadchiroli,Gadchiroli East,Pimple Saudagar Bazar 19
Chandrapur,Chandrapur Taluka-3,Rambagh South
Bid,Bid Taluka-2,Manjari
Miraj,Miraj West,Kharadi Nagar
Ichalkaranji,Ichalkaranji Taluka-2,Vile Parle Market
Pandharpur,Pandharpur Urban,Hadapsar Nagar
Pune,Pune Urban,Wagholi Market
Mumbai,Mumbai Urban,Mulund Road
Nagpur,Nagpur Taluka-1,Gandhivihar Residential
Nashik,Nashik Central,Juhu Nagar
Aurangabad,Aurangabad North,Hillgaon East
Kolhapur,Kolhapur Urban,Katraj Layout
Solapur,Solapur Central,Kondhwa Market 2
Sangli,Sangli Central,Rajabasti Phase-1
Satara,Satara Taluka-2,Kurla Market
Jalgaon,Jalgaon Taluka-1,Kharadi Market
Amravati,Amravati Taluka-2,Shivaji Nagar Market
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Viman Nagar Road
Thane,Thane Taluka-2,Gandhicolony Central
Navi Mumbai,Navi Mumbai Rural,Kothrud Road
Akola,Akola Central,Pimple Saudagar Society
Wardha,Wardha Taluka-2,Fursungi Market
Beed,Beed Urban,Worli Road
Latur,Latur Taluka-2,Anandwadi Industrial
Nanded,Nanded Taluka-2,Borivali Road
Parbhani,Parbhani Taluka-3,Kharadi Colony
Raigad,Raigad North,Netajibasti Industrial
Ratnagiri,Ratnagiri Taluka-2,Wagholi Bazar
Sindhudurg,Sindhudurg Taluka-3,Pimpri Road
Palghar,Palghar Taluka-1,Pimpri Road
Buldhana,Buldhana Urban,Gardengaon Residential
Nandurbar,Nandurbar Taluka-1,Kothrud Road
Dhule,Dhule Taluka-1,Koregaon Park Nagar
Jalna,Jalna Central,Pimple Saudagar Road
Osmanabad,Osmanabad Taluka-2,Wakad Market
Hingoli,Hingoli Taluka-2,Vijaycolony West
Washim,Washim East,Ambegaon Society
Yavatmal,Yavatmal Urban,Anandlayout Residential
Bhandara,Bhandara South,Shreepeth North
Gondia,Gondia Central,Shreepeth Industrial
Gadchiroli,Gadchiroli North,Shantibagh North
Chandrapur,Chandrapur Taluka-2,Shanticolony North
Bid,Bid Taluka-2,Manjari Bazar 9
Miraj,Miraj Taluka-1,Vile Parle Colony
Ichalkaranji,Ichalkaranji East,Ghatkopar Road
Pandharpur,Pandharpur North,Katraj Society
Pune,Pune Urban,Viman Nagar Bazar
Mumbai,Mumbai Urban,Magarpatta Nagar
Nagpur,Nagpur South,Shivaji Nagar Society
Nashik,Nashik Rural,Sus Bazar 16
Aurangabad,Aurangabad Taluka-3,Magarpatta 14
Kolhapur,Kolhapur Rural,Baner Road
Solapur,Solapur South,Hillmarket South
Sangli,Sangli Urban,Netajilayout East
Satara,Satara Rural,Khar Bazar
Jalgaon,Jalgaon West,Ganeshpeth South 12
Amravati,Amravati West,Nigdi Road 6
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Vile Parle Society 20
Thane,Thane East,Ambegaon Colony
Navi Mumbai,Navi Mumbai Central,Ganeshgalli Industrial 19
Akola,Akola Central,Rajabagh Phase-2
Wardha,Wardha Taluka-3,Shivmarket East
Beed,Beed West,Sagarcolony Phase-1
Latur,Latur Taluka-1,Shreebasti North 20
Nanded,Nanded Central,Hillcolony Industrial
Parbhani,Parbhani West,Vasantgaon Central
Raigad,Raigad Rural,Rajagalli North
Ratnagiri,Ratnagiri Central,Greenlayout Extension
Sindhudurg,Sindhudurg Taluka-1,Borivali Layout
Palghar,Palghar South,Gardenwadi Phase-1
Buldhana,Buldhana Taluka-2,Vasantpura Phase-1
Nandurbar,Nandurbar Urban,Anandvihar Phase-1
Dhule,Dhule Taluka-1,Baner Road 5
Jalna,Jalna South,Newpur North
Osmanabad,Osmanabad Central,Kothrud Layout
Hingoli,Hingoli East,Sus Road
Washim,Washim Urban,Greenvihar South
Yavatmal,Yavatmal Urban,Saicolony Industrial
Bhandara,Bhandara East,Gayatrimarket East 9
Gondia,Gondia Taluka-1,Vasantlayout Residential
Gadchiroli,Gadchiroli West,Gardenpura Phase-2
Chandrapur,Chandrapur Taluka-3,Juhu Colony
Bid,Bid East,Ramwadi North
Miraj,Miraj Taluka-3,Hinjawadi Layout
Ichalkaranji,Ichalkaranji South,FC Road
Pandharpur,Pandharpur North,Saiwadi Extension
Pune,Pune East,Akurdi Nagar 11
Mumbai,Mumbai Taluka-3,Hadapsar Road
Nagpur,Nagpur West,Wanowrie Society 8
Nashik,Nashik Rural,Gayatripura Central
Aurangabad,Aurangabad Central,Lohegaon 12
Kolhapur,Kolhapur North,Lower Parel Colony
Solapur,Solapur Taluka-1,Gandhicolony West
Sangli,Sangli Taluka-3,Shivcolony Phase-1
Satara,Satara Taluka-2,Kasba Peth Bazar
Jalgaon,Jalgaon Urban,Newpura Phase-1 4
Amravati,Amravati East,Vasantmarket Phase-1 3
Pimpri-Chinchwad,Pimpri-Chinchwad West,Vasantgaon Industrial
Thane,Thane East,Ghatkopar Society
Navi Mumbai,Navi Mumbai Urban,Santnagar Residential
Akola,Akola Central,Kothrud Market
Wardha,Wardha North,Shivaji Nagar Layout
Beed,Beed West,Krishnapura East
Latur,Latur Urban,Lower Parel Road
Nanded,Nanded Central,Aundh Nagar
Parbhani,Parbhani North,Kurla Layout
Raigad,Raigad Rural,Rajavihar Industrial
Ratnagiri,Ratnagiri Taluka-2,Wanowrie Colony
Sindhudurg,Sindhudurg South,Greenpur North
Palghar,Palghar North,Shivmarket Phase-1
Buldhana,Buldhana Rural,Bandra Society
Nandurbar,Nandurbar East,Chembur Nagar
Dhule,Dhule South,Santwadi North
Jalna,Jalna Central,Hadapsar
Osmanabad,Osmanabad North,Rampur West
Hingoli,Hingoli Taluka-3,Sagarpura Extension
Washim,Washim Urban,Borivali Road
Yavatmal,Yavatmal Urban,Dhayari Layout
Bhandara,Bhandara Taluka-2,Nigdi Nagar
Gondia,Gondia Taluka-1,Camp Colony
Gadchiroli,Gadchiroli West,Nigdi Market
Chandrapur,Chandrapur Taluka-2,Rajabagh Extension
Bid,Bid Taluka-2,Hadapsar Road
Miraj,Miraj West,Newpur West
Ichalkaranji,Ichalkaranji Rural,Gardennagar Phase-2
Pandharpur,Pandharpur Taluka-3,Bavdhan Layout
Pune,Pune South,Santpura Industrial
Mumbai,Mumbai Taluka-3,Rajwadi Residential
Nagpur,Nagpur Taluka-2,Kasba Peth
Nashik,Nashik Urban,Riverchowk North
Aurangabad,Aurangabad Urban,Hadapsar Market
Kolhapur,Kolhapur North,Saigaon Residential
Solapur,Solapur West,Bavdhan Colony
Sangli,Sangli Central,Narhe 11
Satara,Satara East,Hillchowk Central
Jalgaon,Jalgaon Urban,Akurdi Market
Amravati,Amravati Taluka-2,Lower Parel Road
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Oldmarket Industrial
Thane,Thane Central,Colaba Bazar
Navi Mumbai,Navi Mumbai Rural,Wakad Bazar
Akola,Akola Central,Pashan Colony
Wardha,Wardha Taluka-3,Vile Parle Road
Beed,Beed West,Udaypeth Residential
Latur,Latur East,Viman Nagar Society 2
Nanded,Nanded Taluka-3,Viman Nagar Market
Parbhani,Parbhani North,Santnagar North
Raigad,Raigad Taluka-3,Ambegaon
Ratnagiri,Ratnagiri Central,Newbagh Phase-2
Sindhudurg,Sindhudurg South,Manjari Market
Palghar,Palghar South,Hillpur North
Buldhana,Buldhana Taluka-2,Rivermandi West
Nandurbar,Nandurbar West,Balewadi Colony
Dhule,Dhule East,Santmandi West
Jalna,Jalna South,Greenmarket West 5
Osmanabad,Osmanabad Taluka-2,Vasantchowk Industrial
Hingoli,Hingoli Taluka-1,Anandmarket Industrial
Washim,Washim Taluka-3,Gandhipura Phase-2
Yavatmal,Yavatmal Rural,Wakad Layout
Bhandara,Bhandara Taluka-2,Rampur Phase-2
Gondia,Gondia Urban,Baner
Gadchiroli,Gadchiroli Taluka-2,Bhosari Colony
Chandrapur,Chandrapur Taluka-2,Chinchwad Market
Bid,Bid Central,Wanowrie Society
Miraj,Miraj Taluka-2,Kurla Society
Ichalkaranji,Ichalkaranji Taluka-1,Lohegaon Bazar
Pandharpur,Pandharpur East,FC Road Layout
Pune,Pune Taluka-3,Shantipeth South
Mumbai,Mumbai Urban,Kasba Peth Society
Nagpur,Nagpur Taluka-2,Dadar
Nashik,Nashik Urban,Bandra Society 9
Aurangabad,Aurangabad Urban,Bandra
Kolhapur,Kolhapur Taluka-3,Hillpur Phase-2 6
Solapur,Solapur Taluka-1,Baner Colony
Sangli,Sangli Taluka-3,Bavdhan Colony
Satara,Satara West,Lower Parel
Jalgaon,Jalgaon North,Vasantvihar Extension
Amravati,Amravati Taluka-2,Undri
Pimpri-Chinchwad,Pimpri-Chinchwad South,Greenpur Phase-1
Thane,Thane South,Pashan Colony
Navi Mumbai,Navi Mumbai Central,Ambegaon
Akola,Akola Urban,Lohegaon Road
Wardha,Wardha West,Prakashmarket Central
Beed,Beed Rural,Sus Society
Latur,Latur Taluka-1,Vasantbagh Residential
Nanded,Nanded Taluka-2,FC Road Road
Parbhani,Parbhani Taluka-3,Shantibasti South
Raigad,Raigad Urban,Hillmarket East
Ratnagiri,Ratnagiri Central,Pimpri Society
Sindhudurg,Sindhudurg West,Hadapsar Bazar
Palghar,Palghar South,Vijaywadi South
Buldhana,Buldhana North,Camp Layout
Nandurbar,Nandurbar Central,Riverpura North
Dhule,Dhule Taluka-2,Shantichowk Residential
Jalna,Jalna South,Netajimandi Extension
Osmanabad,Osmanabad Central,Mulund Layout
Hingoli,Hingoli East,Undri Society
Washim,Washim Taluka-2,Ambegaon Market
Yavatmal,Yavatmal West,Rajapura East 7
Bhandara,Bhandara Central,Yerawada Nagar
Gondia,Gondia North,FC Road Colony
Gadchiroli,Gadchiroli Urban,Hadapsar Bazar
Chandrapur,Chandrapur Central,Netajipura Industrial
Bid,Bid East,Akurdi Colony
Miraj,Miraj Taluka-1,Camp Society
Ichalkaranji,Ichalkaranji Central,Chembur Market
Pandharpur,Pandharpur South,Magarpatta Market
Pune,Pune Taluka-2,Rajpur Phase-1
Mumbai,Mumbai Rural,Ghatkopar Market 9
Nagpur,Nagpur Taluka-1,Ganeshbagh Extension
Nashik,Nashik East,Byculla Layout
Aurangabad,Aurangabad Taluka-3,Kurla Colony
Kolhapur,Kolhapur West,Khar Layout
Solapur,Solapur Taluka-1,Khar Bazar
Sangli,Sangli Urban,Rajachowk North
Satara,Satara Taluka-2,Borivali Society
Jalgaon,Jalgaon North,Dhayari Colony
Amravati,Amravati West,Riverchowk Industrial
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Netajibasti Phase-2
Thane,Thane Taluka-3,Hadapsar
Navi Mumbai,Navi Mumbai Central,Udaybasti West
Akola,Akola Urban,Aundh Bazar
Wardha,Wardha Taluka-2,Hillgalli West 20
Beed,Beed North,Bhosari Layout
Latur,Latur Taluka-2,Wakad Market
Nanded,Nanded Taluka-3,Worli Nagar
Parbhani,Parbhani Taluka-2,Rajalayout Phase-1
Raigad,Raigad North,Ghatkopar Market
Ratnagiri,Ratnagiri Taluka-1,Gardencolony Phase-2
Sindhudurg,Sindhudurg West,Sagarmarket South
Palghar,Palghar Taluka-1,Manjari Layout
Buldhana,Buldhana Rural,Mulund Market
Nandurbar,Nandurbar West,Ghatkopar Bazar
Dhule,Dhule West,Khar Society
Jalna,Jalna Rural,Greenpura South
Osmanabad,Osmanabad Taluka-3,Viman Nagar Society
Hingoli,Hingoli Taluka-3,Hinjawadi Colony
Washim,Washim East,Chembur Layout
Yavatmal,Yavatmal West,Koregaon Park Road
Bhandara,Bhandara West,Ghatkopar Bazar
Gondia,Gondia Central,Wanowrie
Gadchiroli,Gadchiroli Taluka-2,Wakad Bazar
Chandrapur,Chandrapur Taluka-1,Baner Bazar
Bid,Bid Taluka-2,Byculla Bazar
Miraj,Miraj Central,Saipura West
Ichalkaranji,Ichalkaranji South,Khar Society 16
Pandharpur,Pandharpur Taluka-2,FC Road Society
Pune,Pune Rural,Anandgaon Industrial
Mumbai,Mumbai Taluka-2,Bavdhan Colony
Nagpur,Nagpur Taluka-2,Wagholi Bazar
Nashik,Nashik East,Shreechowk East
Aurangabad,Aurangabad Central,FC Road Bazar
Kolhapur,Kolhapur Urban,Kothrud Colony
Solapur,Solapur Rural,Gayatrinagar North
Sangli,Sangli Taluka-3,Colaba Colony 2
Satara,Satara Rural,Santpura West
Jalgaon,Jalgaon Taluka-1,Borivali Nagar
Amravati,Amravati Central,Lower Parel Market
Pimpri-Chinchwad,Pimpri-Chinchwad South,Shivaji Nagar Nagar
Thane,Thane Central,Netajigalli Residential
Navi Mumbai,Navi Mumbai Rural,Netajibasti North
Akola,Akola Central,Sus Layout
Wardha,Wardha East,Hadapsar Nagar
Beed,Beed West,Bandra Market 5
Latur,Latur East,FC Road Nagar
Nanded,Nanded Central,Hadapsar
Parbhani,Parbhani Taluka-2,Oldpura West
Raigad,Raigad North,Newmarket Residential
Ratnagiri,Ratnagiri West,Gayatrivihar Extension 17
Sindhudurg,Sindhudurg Taluka-3,Wakad Market
Palghar,Palghar South,Kharadi Road 13
Buldhana,Buldhana East,Ghatkopar Layout 8
Nandurbar,Nandurbar Urban,Shivcolony South
Dhule,Dhule Taluka-1,Byculla
Jalna,Jalna Taluka-1,Prakashbasti East
Osmanabad,Osmanabad Central,Juhu Road
Hingoli,Hingoli Rural,Hillpeth West
Washim,Washim Taluka-3,Undri Colony
Yavatmal,Yavatmal South,Lohegaon Society
Bhandara,Bhandara East,Netajichowk Residential
Gondia,Gondia Urban,Shreegalli North
Gadchiroli,Gadchiroli Urban,Viman Nagar Bazar
Chandrapur,Chandrapur Taluka-2,Yerawada Nagar
Bid,Bid Taluka-2,Gayatrimandi South
Miraj,Miraj West,Lohegaon Layout
Ichalkaranji,Ichalkaranji Taluka-2,Ambegaon
Pandharpur,Pandharpur Rural,Undri Market
Pune,Pune East,Shivaji Nagar Colony
Mumbai,Mumbai Rural,Anandlayout Central
Nagpur,Nagpur West,Narhe Nagar
Nashik,Nashik East,Andheri Colony
Aurangabad,Aurangabad North,Ambegaon Colony
Kolhapur,Kolhapur Central,Shreebagh Phase-2
Solapur,Solapur Urban,Kondhwa
Sangli,Sangli Taluka-3,Khar
Satara,Satara Taluka-2,Hinjawadi Society
Jalgaon,Jalgaon North,Oldbasti Phase-2
Amravati,Amravati Taluka-2,Undri
Pimpri-Chinchwad,Pimpri-Chinchwad North,Ghatkopar Colony
Thane,Thane Taluka-2,Gandhibagh Phase-2
Navi Mumbai,Navi Mumbai Urban,Koregaon Park Society
Akola,Akola East,Akurdi
Wardha,Wardha West,Kasba Peth Society
Beed,Beed North,Sagarmarket South
Latur,Latur Taluka-1,Chembur Colony
Nanded,Nanded South,Gayatrichowk Phase-2 14
Parbhani,Parbhani Urban,Kharadi Nagar
Raigad,Raigad West,Shreepura Phase-2
Ratnagiri,Ratnagiri Taluka-1,Rajanagar South
Sindhudurg,Sindhudurg West,Juhu Road 2
Palghar,Palghar South,Santlayout Central 4
Buldhana,Buldhana West,Balewadi Nagar
Nandurbar,Nandurbar Urban,Wanowrie Layout
Dhule,Dhule East,Santbasti East
Jalna,Jalna South,Kothrud Layout
Osmanabad,Osmanabad Central,Lower Parel 9
Hingoli,Hingoli Taluka-1,Shivpur Industrial
Washim,Washim Taluka-3,Vile Parle Road
Yavatmal,Yavatmal Taluka-3,Greenpeth North
Bhandara,Bhandara Central,Vile Parle 17
Gondia,Gondia North,Ambegaon Market 12
Gadchiroli,Gadchiroli East,Oldmarket Central
Chandrapur,Chandrapur Rural,Bhosari
Bid,Bid Central,Dhayari Society
Miraj,Miraj Taluka-3,Hillchowk Phase-2
Ichalkaranji,Ichalkaranji Central,Akurdi Market
Pandharpur,Pandharpur Rural,Gayatribagh Phase-1
Pune,Pune Central,Kurla Colony
Mumbai,Mumbai West,Hillcolony North
Nagpur,Nagpur West,Lakecolony North
Nashik,Nashik North,Juhu Road
Aurangabad,Aurangabad Urban,Vasantpura Industrial
Kolhapur,Kolhapur South,Dadar Layout
Solapur,Solapur Rural,Hadapsar
Sangli,Sangli Taluka-3,Rivermandi Phase-2
Satara,Satara South,Balewadi Nagar 16
Jalgaon,Jalgaon South,Bandra Bazar
Amravati,Amravati West,Bhosari Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad North,Bavdhan Society
Thane,Thane Urban,Krishnagaon South
Navi Mumbai,Navi Mumbai Urban,Sus Bazar
Akola,Akola Urban,Krishnavihar East
Wardha,Wardha Taluka-1,Yerawada Society
Beed,Beed Rural,Undri
Latur,Latur East,Bavdhan Colony
Nanded,Nanded West,Saimarket Industrial
Parbhani,Parbhani Rural,Newpur Residential
Raigad,Raigad Rural,Rajbagh North
Ratnagiri,Ratnagiri Taluka-2,Santbagh Residential 17
Sindhudurg,Sindhudurg Taluka-3,Andheri Market
Palghar,Palghar North,Hadapsar Bazar
Buldhana,Buldhana North,Rampur Extension
Nandurbar,Nandurbar Taluka-2,Anandbasti West 15
Dhule,Dhule South,Undri Society
Jalna,Jalna Rural,Bhosari
Osmanabad,Osmanabad Rural,Worli Market
Hingoli,Hingoli Taluka-3,Vile Parle
Washim,Washim East,Rajapur North 5
Yavatmal,Yavatmal South,Mulund Layout 16
Bhandara,Bhandara East,Byculla
Gondia,Gondia Urban,Andheri Bazar
Gadchiroli,Gadchiroli North,Bandra
Chandrapur,Chandrapur Taluka-3,Dadar Colony 5
Bid,Bid Urban,Saiwadi East
Miraj,Miraj Taluka-2,Pimpri 6
Ichalkaranji,Ichalkaranji South,Riverchowk Phase-2
Pandharpur,Pandharpur East,Narhe Nagar
Pune,Pune Rural,Gayatripura Industrial
Mumbai,Mumbai Taluka-2,Rampur Residential
Nagpur,Nagpur South,Manjari Colony
Nashik,Nashik North,Akurdi Road
Aurangabad,Aurangabad Central,Anandpur Industrial
Kolhapur,Kolhapur Central,Akurdi Nagar
Solapur,Solapur South,Undri Bazar
Sangli,Sangli West,Oldbasti Central
Satara,Satara West,Narhe Road
Jalgaon,Jalgaon Central,Krishnavihar East
Amravati,Amravati Taluka-3,Newnagar South
Pimpri-Chinchwad,Pimpri-Chinchwad East,Rajpur Phase-1
Thane,Thane Central,Kurla Nagar
Navi Mumbai,Navi Mumbai Rural,Newpura Extension
Akola,Akola Urban,Prakashnagar North
Wardha,Wardha Rural,Wanowrie Nagar
Beed,Beed West,Sailayout Phase-1
Latur,Latur Taluka-2,Balewadi Colony
Nanded,Nanded South,Prakashpura West
Parbhani,Parbhani Taluka-2,Gayatrivihar Phase-1
Raigad,Raigad North,Shreemandi West
Ratnagiri,Ratnagiri Central,Gayatribasti East
Sindhudurg,Sindhudurg Taluka-3,Camp Nagar
Palghar,Palghar North,Kondhwa Market 2
Buldhana,Buldhana North,Rajamarket East
Nandurbar,Nandurbar Urban,Dhayari Bazar
Dhule,Dhule East,Yerawada Market
Jalna,Jalna South,Hillchowk North
Osmanabad,Osmanabad Taluka-2,Vile Parle Road 2
Hingoli,Hingoli East,Gayatribagh East 10
Washim,Washim Taluka-2,Kondhwa Colony
Yavatmal,Yavatmal South,Wanowrie Nagar
Bhandara,Bhandara South,Kalyani Nagar Market
Gondia,Gondia Central,Greenmarket West
Gadchiroli,Gadchiroli East,Pashan Market
Chandrapur,Chandrapur Taluka-2,Viman Nagar Road
Bid,Bid Central,Kothrud Market 2
Miraj,Miraj Taluka-3,Pimpri Society
Ichalkaranji,Ichalkaranji Taluka-2,Rajpura South
Pandharpur,Pandharpur North,Ramcolony Residential
Pune,Pune Rural,Anandbagh West
Mumbai,Mumbai Taluka-2,Shivaji Nagar Market
Nagpur,Nagpur South,Gandhiwadi Extension
Nashik,Nashik East,Balewadi Road
Aurangabad,Aurangabad North,Viman Nagar Layout
Kolhapur,Kolhapur Taluka-2,Ambegaon Road
Solapur,Solapur Taluka-1,Kondhwa Bazar
Sangli,Sangli Urban,Camp Market
Satara,Satara North,Wagholi Society
Jalgaon,Jalgaon Taluka-3,Dhayari Colony
Amravati,Amravati Central,Anandmandi Residential 20
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Chinchwad Bazar
Thane,Thane Taluka-3,Chinchwad Society
Navi Mumbai,Navi Mumbai Rural,Wakad
Akola,Akola Taluka-2,Koregaon Park Society
Wardha,Wardha East,Kurla Nagar
Beed,Beed Central,Krishnabasti Extension
Latur,Latur Urban,Hillvihar North
Nanded,Nanded Taluka-2,Lohegaon 18
Parbhani,Parbhani Taluka-3,Ganeshlayout Central
Raigad,Raigad Taluka-3,Andheri Society
Ratnagiri,Ratnagiri Taluka-1,Hinjawadi Colony
Sindhudurg,Sindhudurg South,Lohegaon Society
Palghar,Palghar North,Santpur North
Buldhana,Buldhana Urban,Santbasti Residential
Nandurbar,Nandurbar Central,Lower Parel Society
Dhule,Dhule Taluka-1,Krishnamandi North
Jalna,Jalna Taluka-1,Sus Society
Osmanabad,Osmanabad East,Baner Bazar
Hingoli,Hingoli Taluka-3,Vijayvihar Phase-1
Washim,Washim Taluka-2,Lakebagh Extension 16
Yavatmal,Yavatmal West,Juhu Layout
Bhandara,Bhandara Taluka-3,Borivali Road
Gondia,Gondia Taluka-3,Shantipeth Phase-1
Gadchiroli,Gadchiroli East,Gayatrimarket East
Chandrapur,Chandrapur Taluka-3,Lakebasti Extension
Bid,Bid Central,Bavdhan Layout
Miraj,Miraj Taluka-2,Dadar Bazar
Ichalkaranji,Ichalkaranji Rural,Rajgalli Phase-2 16
Pandharpur,Pandharpur South,Aundh Layout
Pune,Pune East,FC Road
Mumbai,Mumbai Taluka-3,Andheri Market
Nagpur,Nagpur South,Vijaygalli South
Nashik,Nashik Urban,Bavdhan Nagar
Aurangabad,Aurangabad Urban,Kalyani Nagar Bazar
Kolhapur,Kolhapur Taluka-3,Oldchowk Residential
Solapur,Solapur Rural,Juhu Nagar 9
Sangli,Sangli North,Narhe Society
Satara,Satara Rural,Vasantcolony Phase-1
Jalgaon,Jalgaon Taluka-3,Kalyani Nagar Society 15
Amravati,Amravati Taluka-2,Hillchowk East 18
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Krishnamandi Central
Thane,Thane South,Vijaychowk Phase-2
Navi Mumbai,Navi Mumbai Central,Lakegalli South
Akola,Akola Taluka-2,Baner
Wardha,Wardha Taluka-2,Undri Road
Beed,Beed Central,Koregaon Park Layout
Latur,Latur Urban,Saimandi South
Nanded,Nanded Taluka-2,Ganeshpeth Phase-2
Parbhani,Parbhani Rural,Gardenmandi North
Raigad,Raigad Taluka-3,Narhe Road
Ratnagiri,Ratnagiri Central,Anandcolony Extension
Sindhudurg,Sindhudurg Taluka-3,Kothrud Society
Palghar,Palghar Urban,FC Road Market
Buldhana,Buldhana East,Newmandi Industrial
